,COEFF,QUARTER,REFYEAR,REFWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
106,0.1468709119,_A,2004,23,DK,0.0,1,9,2.0,2,6,2004,1,2,20.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,9.0,1.0,1.0,9.0,40.0,32.0,,,12.0,,37.0,1.0,2.0,5.0,0.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,2.0,1.0,9.0,1.0,H,9.0,,,,9.0,9,9,,9.0
124,0.3308806589,_A,2004,19,DK,0.0,1,9,3.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,3.0,1.0,1.0,9.0,41.0,37.0,,,7.0,,32.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,4.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,26.0,,,9.0,9.0,9,9,9.0,9.0
135,0.1200254403,_A,2004,25,DK,3.0,1,9,1.0,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,2.0,1.0,2.0,4.0,36.0,36.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,4.0,,,9.0,9.0,9,9,9.0,9.0
137,0.116863896,_A,2004,15,DK,0.0,1,9,3.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,2,5.0,4,2.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,2.0,9.0,9.0,,9,9,9.0,
145,0.0832634829,_A,2004,21,DK,0.0,1,9,3.0,2,5,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,5,5.0,4,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,12.0,2.0,3.0,1.0,L,999.0,5.0,9.0,9.0,,9,9,9.0,
155,0.0630541939,_A,2004,24,DK,0.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,1.0,1.0,2.0,3.0,36.0,36.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,5.0,,,9.0,9.0,9,9,9.0,9.0
169,0.4318385689,_A,2004,21,DK,3.0,1,9,1.0,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1997.0,99.0,1.0,1.0,9.0,37.0,24.0,,,11.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,84.0,,,9.0,9.0,9,9,9.0,9.0
181,0.1511056997,_A,2004,15,DK,3.0,1,9,1.0,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,8,5.0,4,3.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,12.0,2.0,2.0,1.0,M,999.0,4.0,9.0,9.0,,9,9,9.0,
182,0.1115667783,_A,2004,19,DK,0.0,1,9,1.0,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,1.0,2.0,1.0,1.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
200,0.4667179679,_A,2004,26,DK,0.0,1,9,3.0,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1997.0,99.0,1.0,1.0,9.0,50.0,42.0,,,7.0,,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,84.0,,,9.0,9.0,9,9,9.0,9.0
232,0.0644273572,_A,2004,23,DK,0.0,1,9,3.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,4,5.0,9,000-OWN COUNTRY,2002.0,8.0,1.0,1.0,9.0,37.0,0.0,,,99.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,22.0,,,9.0,9.0,9,9,9.0,9.0
237,0.5685162738,_A,2004,19,DK,0.0,1,9,1.0,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,2,5.0,4,5.0,1.0,0,0,1,1,0,0,0,0,0,1,0,0,0,9.0,2,1.0,,2.0,999.0,3.0,9.0,1.0,L,999.0,3.0,9.0,9.0,,9,9,9.0,
242,0.0578739176,_A,2004,23,DK,0.0,1,9,3.0,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,10,5.0,4,3.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,6.0,9.0,9.0,,9,9,9.0,
247,0.6308222018,_A,2004,18,DK,0.0,1,9,2.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,2.0,1.0,1.0,9.0,37.0,37.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,26.0,,,9.0,9.0,9,9,9.0,9.0
250,0.0538848777,_A,2004,21,DK,0.0,1,9,1.0,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,6,5.0,4,3.0,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,110.0,2.0,2.0,1.0,H,999.0,4.0,9.0,9.0,,9,9,9.0,
262,0.1177143725,_A,2004,19,DK,3.0,1,9,2.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,6,5.0,4,3.0,1.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,60.0,2.0,1.0,1.0,H,999.0,4.0,9.0,9.0,,9,9,9.0,
271,0.098420534,_A,2004,19,DK,3.0,1,9,1.0,2,5,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,1,5.0,4,2.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,L,999.0,3.0,9.0,9.0,,9,9,9.0,
296,0.0770166835,_A,2004,19,DK,3.0,1,9,3.0,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,2.0,2.0,1.0,9.0,25.0,25.0,,,97.0,1.0,32.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,3.0,,,9.0,9.0,9,9,9.0,9.0
311,0.5778588269,_A,2004,19,DK,0.0,1,9,2.0,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,5.0,2.0,1.0,9.0,5.0,5.0,,,97.0,1.0,6.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,4.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,2,1.0,3.0,2.0,999.0,1.0,9.0,1.0,L,0.0,,,9.0,9.0,9,9,9.0,9.0
335,0.0920500093,_A,2004,24,DK,3.0,1,9,3.0,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,4.0,2.0,2.0,4.0,8.0,8.0,,,97.0,1.0,32.0,1.0,2.0,5.0,0.0,9.0,9999.0,99,9.0,9,2.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,2.0,,,,9.0,9,9,,9.0
354,0.4659536552,_A,2004,26,DK,0.0,1,9,1.0,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,4.0,2.0,1.0,9.0,20.0,20.0,,,97.0,1.0,20.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,5.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,2.0,,,9.0,9.0,9,9,9.0,9.0
357,0.0585142092,_A,2004,15,DK,0.0,1,9,2.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,8.0,1.0,2.0,4.0,35.0,35.0,,,97.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,8.0,,,9.0,9.0,9,9,9.0,9.0
362,0.4018379935,_A,2004,23,DK,3.0,1,9,1.0,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,4,5.0,4,3.0,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,9.0,0.0,M,999.0,2.0,9.0,9.0,,9,9,9.0,
371,0.0734902561,_A,2004,24,DK,3.0,1,9,3.0,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,3.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,H,999.0,3.0,9.0,9.0,,9,9,9.0,
380,0.1532895405,_A,2004,14,DK,0.0,1,9,2.0,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,8,5.0,4,2.0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,M,999.0,4.0,9.0,9.0,,9,9,9.0,
402,0.4677548964,_A,2004,18,DK,0.0,1,9,3.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,9,5.0,4,2.0,2.0,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,L,999.0,4.0,9.0,9.0,,9,9,9.0,
432,0.491146745,_A,2004,16,DK,0.0,1,9,2.0,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,3.0,1.0,2.0,8.0,45.0,40.0,,,7.0,,37.0,1.0,2.0,5.0,10.0,9.0,9999.0,99,9.0,9,2.0,3.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,L,25.0,,,,9.0,9,9,,9.0
435,0.040333442,_A,2004,22,DK,0.0,1,9,3.0,2,5,2004,1,2,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,3.0,2.0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,90.0,2.0,1.0,1.0,H,999.0,3.0,9.0,9.0,,9,9,9.0,
436,0.1198208231,_A,2004,18,DK,0.0,1,9,1.0,2,4,2004,1,2,32.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,4.0,2.0,1.0,9.0,12.0,12.0,,,97.0,1.0,37.0,1.0,2.0,5.0,0.0,9.0,9999.0,99,9.0,9,3.0,3.0,1,0,0,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,H,0.0,,,,9.0,9,9,,9.0
442,0.0787673041,_A,2004,18,DK,3.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,12,5.0,4,3.0,3.0,1,1,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
476,0.0740292079,_A,2004,26,DK,0.0,1,9,2.0,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,4.0,1.0,2.0,3.0,37.0,37.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,2.0,,,9.0,9.0,9,9,9.0,9.0
481,0.098453354,_A,2004,20,DK,0.0,1,9,1.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2000.0,99,5.0,4,2.0,3.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,37.0,2.0,3.0,1.0,M,999.0,8.0,9.0,9.0,,9,9,9.0,
486,0.5316017571,_A,2004,25,DK,0.0,1,9,2.0,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,6.0,2.0,2.0,3.0,3.0,8.0,,,,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,,1.0,9.0,1.0,M,0.0,,,9.0,9.0,9,9,9.0,9.0
493,0.5507614827,_A,2004,24,DK,0.0,1,9,2.0,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,11.0,1.0,2.0,1.0,37.0,39.0,,,16.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,3.0,0,0,1,1,1,0,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,7.0,,,9.0,9.0,9,9,9.0,9.0
519,0.0527621815,_A,2004,19,DK,3.0,1,9,2.0,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2002.0,12.0,1.0,1.0,9.0,40.0,39.0,,,12.0,,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,6.0,1.0,9.0,1.0,H,17.0,,,9.0,9.0,9,9,9.0,9.0
534,0.1116170658,_A,2004,24,DK,3.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,3,5.0,4,3.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,L,999.0,5.0,9.0,9.0,,9,9,9.0,
548,0.5175568876,_A,2004,25,DK,0.0,1,9,1.0,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99,9.0,4,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,,9.0,9.0,9.0,9,9,9.0,9.0
558,0.0764649262,_A,2004,26,DK,0.0,1,9,2.0,2,6,2004,1,2,32.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,5.0,1.0,2.0,2.0,30.0,30.0,,,97.0,1.0,37.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,3.0,0,0,1,1,1,1,0,0,0,1,1,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,1.0,,,9.0,9.0,9,9,9.0,9.0
