,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS
293,0.033555,Q1,2013,5,6,SI,3.0,1,9,3,2,1,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,1998,99.0,99.0,9,4,9.0,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,1,9,4,2,9.0,2,999,9,9,1977,2.0,999.0,999.0,3.0,0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,2
309,0.0237525,Q1,2013,9,10,SI,4.0,1,9,3,2,2,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,2.0,15,000-OWN COUNTRY,2010,99.0,9.0,1,9.0,1.0,9.0,9,0.0,3.0,3,3,1,2,40,0,,,8,0.0,9,,3,1,6,1,9,99,9,9999,99.0,99.0,9,9,9.0,2,3,0,0,1,0,1,1,1,0,0,1,0,0,0,9.0,9,9.0,9,9,4,2,9.0,1,40,1,4,1989,1.0,900.0,999.0,9.0,1,M,0.0,,,36,,,B,9,9,3
317,0.0278,Q3,2013,31,32,SI,3.0,1,9,5,2,8,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,0.0,9,9.0,14,000-OWN COUNTRY,2008,99.0,9.0,2,,9.0,9.0,9,9.0,9.0,3,3,2,2,20,25,99.0,99.0,16,0.0,9,,1,1,7,1,9,99,9,9999,99.0,99.0,9,9,9.0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,9.0,9,9.0,9,9,4,2,9.0,2,999,9,9,2012,1.0,900.0,999.0,9.0,0,M,0.0,9.0,9.0,60,,99.0,G,9,9,4
378,0.027085,Q1,2013,13,14,SI,4.0,1,9,1,2,3,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,1992,99.0,99.0,9,4,9.0,3,1,1,0,1,1,0,0,1,0,0,1,1,0,0,9.0,1,9.0,5,9,2,2,9.0,2,999,9,9,1988,2.0,999.0,999.0,1.0,0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,2
396,0.088275,Q1,2013,10,11,SI,4.0,1,9,2,2,3,2013,1,1.0,32.0,005-EU28,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2011,6.0,0.0,9,4,9.0,3,3,1,0,1,1,0,1,0,0,0,0,1,0,0,9.0,1,9.0,1,9,2,2,9.0,1,40,2,5,1996,2.0,999.0,999.0,3.0,1,M,0.0,,,999,6.0,99.0,9,9,9,1
414,0.0733075,Q4,2013,42,43,SI,3.0,1,9,5,2,10,2013,1,1.0,32.0,005-EU28,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2009,99.0,7.0,9,4,9.0,3,3,1,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,5,9,2,2,9.0,2,999,9,9,1997,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
456,0.0282325,Q1,2013,12,13,SI,4.0,1,9,4,2,3,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,5.0,0.0,5,4,9.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,9.0,1,9,1,2,9.0,2,999,9,9,1985,3.0,999.0,100.0,9.0,0,H,,9.0,9.0,999,4.0,99.0,9,9,B,1
467,0.011765,Q1,2013,7,8,SI,4.0,1,9,2,2,2,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,2.0,15,000-OWN COUNTRY,2012,9.0,1.0,1,9.0,2.0,,4,0.0,1.0,1,2,1,1,40,40,,,97,1.0,4,45.0,3,1,7,1,9,99,9,9999,99.0,99.0,9,9,9.0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,9,9,4,2,9.0,1,8,2,4,2010,1.0,500.0,999.0,9.0,1,H,0.0,,,5,,,H,9,9,3
470,0.0195275,Q1,2013,9,10,SI,4.0,1,9,1,2,2,2013,1,1.0,32.0,NO ANSWER,,NO ANSWER,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,9.0,0.0,5,4,9.0,3,2,1,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,1,2,9.0,2,999,9,9,1998,2.0,999.0,,1.0,0,M,0.0,9.0,9.0,999,3.0,99.0,9,9,H,2
524,0.0539975,Q1,2013,11,12,SI,4.0,1,9,1,2,3,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2011,8.0,0.0,9,4,9.0,3,3,1,1,1,1,1,1,1,0,0,1,1,0,1,9.0,1,9.0,1,9,1,2,9.0,1,30,2,5,1976,2.0,999.0,999.0,3.0,1,M,0.0,,,999,6.0,99.0,9,9,9,1
550,0.0371525,Q3,2013,28,29,SI,4.0,1,9,2,2,7,2013,1,1.0,32.0,NO ANSWER,,NO ANSWER,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,0,9999,99.0,99.0,9,4,9.0,3,2,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,9.0,5,9,2,2,9.0,2,999,9,9,1997,2.0,999.0,999.0,2.0,0,L,0.0,9.0,9.0,999,,99.0,9,9,9,1
557,0.047835,Q1,2013,7,8,SI,4.0,1,9,3,2,2,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,0,9999,99.0,99.0,9,4,9.0,2,1,1,0,1,1,1,1,1,0,0,1,0,0,1,9.0,1,9.0,5,9,2,2,9.0,2,999,9,9,2005,2.0,999.0,999.0,1.0,0,H,0.0,9.0,9.0,999,,99.0,9,9,9,6
588,0.02521,Q1,2013,8,9,SI,3.0,1,9,5,2,2,2013,1,1.0,32.0,005-EU28,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,1991,99.0,99.0,9,4,9.0,3,1,1,1,1,1,1,1,0,0,0,1,1,0,1,9.0,1,9.0,1,9,1,2,9.0,2,999,9,9,1990,2.0,999.0,999.0,1.0,0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,6
591,0.14102,Q1,2013,12,13,SI,3.0,1,9,4,2,3,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,0.0,9,2.0,15,000-OWN COUNTRY,2008,99.0,9.0,1,9.0,1.0,9.0,9,0.0,1.0,1,1,1,1,40,40,1.0,0.0,97,1.0,4,60.0,3,1,6,1,9,99,9,9999,99.0,99.0,9,9,9.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,9.0,9,9,4,2,9.0,2,999,9,9,2001,1.0,800.0,999.0,9.0,0,L,,9.0,9.0,60,,,H,9,9,4
603,0.032565,Q1,2013,11,12,SI,4.0,1,9,4,2,3,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,0.0,9,9.0,99,000-OWN COUNTRY,1981,99.0,9.0,1,9.0,9.0,9.0,9,9.0,9.0,1,3,3,3,50,0,99.0,99.0,8,0.0,9,,3,1,4,1,9,99,9,9999,99.0,99.0,9,9,9.0,3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,9.0,9,9.0,9,9,4,2,9.0,2,999,9,9,1990,1.0,300.0,999.0,9.0,0,M,0.0,9.0,9.0,384,,99.0,H,9,9,3
607,0.06608,Q3,2013,27,28,SI,4.0,1,9,3,2,7,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2001,99.0,99.0,9,4,9.0,2,1,1,0,1,1,0,1,0,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1976,2.0,999.0,999.0,1.0,0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,1
609,0.0186275,Q4,2013,45,46,SI,3.0,1,9,1,2,11,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2000,99.0,99.0,9,4,9.0,3,3,0,1,1,1,1,1,1,0,0,1,0,0,0,9.0,1,9.0,1,9,4,2,9.0,2,999,9,9,1977,2.0,999.0,999.0,3.0,0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,2
618,0.0210075,Q1,2013,12,13,SI,4.0,1,9,1,2,3,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2008,99.0,1.0,9,4,9.0,3,3,0,1,1,1,1,1,1,0,0,1,0,0,0,9.0,1,9.0,5,9,4,2,9.0,2,999,9,9,2004,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
626,0.0420525,Q1,2013,11,12,SI,3.0,1,9,2,2,3,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2008,99.0,0.0,9,4,9.0,3,3,1,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1987,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,1
634,0.0286125,Q1,2013,3,4,SI,4.0,1,9,1,2,1,2013,1,1.0,47.0,NO ANSWER,,NO ANSWER,2,99,5.0,9,1.0,14,000-OWN COUNTRY,2000,99.0,9.0,1,9.0,1.0,9.0,9,0.0,3.0,2,2,2,2,40,80,80.0,,16,0.0,9,,2,1,6,1,9,99,9,9999,99.0,99.0,9,9,9.0,2,3,0,0,1,1,1,0,0,0,0,0,0,0,0,9.0,9,9.0,9,9,4,2,9.0,2,999,9,9,1994,1.0,100.0,999.0,9.0,0,H,0.0,9.0,9.0,156,,,F,9,9,4
636,0.01287,Q2,2013,15,16,SI,3.0,1,9,1,2,4,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2010,99.0,0.0,9,4,9.0,3,3,1,1,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1995,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,7.0,99.0,9,9,9,4
642,0.04224,Q2,2013,15,16,SI,4.0,1,9,1,2,4,2013,1,2.0,20.0,NO ANSWER,,NO ANSWER,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2011,6.0,1.0,9,4,9.0,3,3,1,1,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,2008,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,6.0,99.0,9,9,9,2
660,0.015895,Q2,2013,19,20,SI,4.0,1,9,1,2,5,2013,1,1.0,47.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,6.0,9.0,5,4,9.0,3,2,1,1,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1983,2.0,999.0,200.0,2.0,0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,H,3
694,0.01476,Q1,2013,12,13,SI,3.0,1,9,1,2,3,2013,1,2.0,32.0,005-EU28,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,11.0,0.0,5,4,9.0,3,2,1,1,1,1,1,1,1,0,0,1,1,0,1,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,2004,2.0,999.0,,1.0,0,M,0.0,9.0,9.0,999,3.0,99.0,9,9,H,3
744,0.025425,Q4,2013,48,49,SI,3.0,1,9,4,2,11,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,1990,99.0,99.0,9,4,9.0,3,2,0,0,0,1,1,1,0,0,0,1,0,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1979,2.0,999.0,999.0,2.0,0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,4
751,0.0555125,Q2,2013,16,17,SI,3.0,1,9,1,2,4,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2010,99.0,9.0,9,4,9.0,3,3,0,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1996,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,7.0,99.0,9,9,9,2
775,0.0253925,Q3,2013,35,36,SI,3.0,1,9,3,2,8,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,12.0,1.0,5,4,9.0,3,2,1,0,1,1,1,1,0,0,0,0,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1975,2.0,999.0,,2.0,0,L,0.0,9.0,9.0,999,4.0,99.0,9,9,H,3
779,0.036735,Q1,2013,3,4,SI,4.0,1,9,3,2,1,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,9.0,0.0,5,4,9.0,3,1,1,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,1,2,9.0,2,999,9,9,1987,2.0,999.0,,1.0,0,L,0.0,9.0,9.0,999,3.0,99.0,9,9,H,3
823,0.0284075,Q1,2013,5,6,SI,3.0,1,9,4,2,1,2013,1,1.0,20.0,005-EU28,0.0,000-OWN COUNTRY,1,99,5.0,9,2.0,15,000-OWN COUNTRY,2013,2.0,,1,9.0,2.0,,4,0.0,3.0,3,3,3,3,40,0,,,15,1.0,4,50.0,2,1,6,1,9,99,9,9999,99.0,99.0,9,9,9.0,3,2,1,1,1,1,1,1,1,0,0,0,1,0,0,9.0,1,9.0,9,9,4,2,9.0,2,999,9,9,2010,1.0,0.0,999.0,9.0,0,M,0.0,9.0,9.0,0,,,H,9,9,4
832,0.06339,Q3,2013,37,38,SI,3.0,1,9,3,2,9,2013,1,1.0,65.0,005-EU28,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,1.0,7.0,9,4,9.0,4,2,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,5,9,4,2,9.0,2,999,9,9,1970,2.0,999.0,999.0,2.0,0,M,0.0,9.0,9.0,999,6.0,99.0,9,9,9,1
