,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
164,0.2667192862,_A,2004,24,25,ES,0.0,1,9,1,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,10.0,5.0,4,3.0,2.0,0,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,05,9,9,9.0,
168,0.2562486949,_A,2004,16,17,ES,3.0,1,9,5,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2000,99.0,5.0,4,6.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,8.0,9.0,9.0,,6+,9,9,9.0,
187,0.1732492755,_A,2004,15,16,ES,0.0,1,9,1,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,3.0,1.0,1,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,M,999,3.0,9.0,9.0,,03,9,9,9.0,
196,0.080000491,_A,2004,15,16,ES,0.0,1,9,1,2,4,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1996,99.0,9.0,4,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
219,0.3027583447,_A,2004,22,23,ES,0.0,1,9,3,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,9.0,5.0,4,3.0,2.0,1,1,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,2,2.0,1,H,999,4.0,9.0,9.0,,02,9,9,9.0,
221,0.3511939722,_A,2004,17,18,ES,0.0,1,9,1,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,6.0,1.0,0,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,6+,9,9,9.0,
228,0.1856686201,_A,2004,15,16,ES,0.0,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2000,99.0,5.0,4,3.0,3.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,M,999,8.0,9.0,9.0,,03,9,9,9.0,
237,0.4825408337,_A,2004,19,20,ES,0.0,1,9,3,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004,3.0,2,2,2.0,7,7,,,97,1.0,38.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,2.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,H,2,,,9.0,9.0,02,9,9,9.0,9.0
243,0.2518349344,_A,2004,26,28,ES,3.0,1,9,4,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,6.0,5.0,4,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,1.0,9.0,9.0,,03,9,9,9.0,
249,0.2214413596,_A,2004,15,16,ES,0.0,1,9,4,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,7,5.0,4,000-OWN COUNTRY,2004,3.0,1,2,3.0,35,0,,,99,0.0,35.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,1.0,,1,9.0,1,H,1,,,9.0,9.0,6+,9,9,9.0,9.0
254,0.1503483881,_A,2004,20,21,ES,0.0,1,9,6,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,1.0,5.0,4,6.0,1.0,1,0,1,0,0,0,0,0,0,1,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,05,9,9,9.0,
274,0.1099353047,_A,2004,23,24,ES,0.0,1,9,2,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,1.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,1,5.0,2.0,999.0,2,1.0,1,M,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
285,0.3073485278,_A,2004,26,27,ES,0.0,1,9,1,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,12.0,5.0,4,2.0,2.0,0,0,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,04,9,9,9.0,
301,0.2962977186,_A,2004,24,25,ES,0.0,1,9,1,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,10.0,5.0,4,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,05,9,9,9.0,
338,0.1571938555,_A,2004,19,20,ES,3.0,1,9,1,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1985,99.0,9.0,4,3.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
349,0.2515243419,_A,2004,20,21,ES,0.0,1,9,6,2,5,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,6.0,1.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,03,9,9,9.0,
377,0.1776780666,_A,2004,21,22,ES,0.0,1,9,5,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,5.0,5.0,4,3.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,M,999,1.0,9.0,9.0,,04,9,9,9.0,
403,0.2957136659,_A,2004,15,16,ES,3.0,1,9,6,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,12.0,5.0,4,2.0,1.0,0,0,1,1,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,H,999,3.0,9.0,9.0,,6+,9,9,9.0,
421,0.2439991878,_A,2004,24,25,ES,3.0,1,9,3,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,5.0,5.0,4,6.0,1.0,0,0,1,0,1,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,2.0,9.0,9.0,,05,9,9,9.0,
434,0.1770595276,_A,2004,16,17,ES,3.0,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2002,8.0,5.0,4,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,2,2,9.0,2.0,999.0,3,9.0,0,M,999,6.0,9.0,9.0,,04,9,9,9.0,
443,0.2147889608,_A,2004,22,23,ES,3.0,1,9,5,2,5,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,3.0,9.0,9.0,,01,9,9,9.0,
458,1.0632682427,_A,2004,22,23,ES,0.0,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,12.0,5.0,4,3.0,1.0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,M,999,3.0,9.0,9.0,,01,9,9,9.0,
473,0.3362461979,_A,2004,26,27,ES,3.0,1,9,2,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,3.0,1.0,1,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,05,9,9,9.0,
477,0.2848591648,_A,2004,23,24,ES,0.0,1,9,5,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1995,99.0,2,1,9.0,20,20,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,1.0,1,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,108,,,9.0,9.0,03,9,9,9.0,9.0
489,0.3295549487,_A,2004,24,25,ES,0.0,1,9,2,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,3.0,5.0,4,2.0,3.0,0,1,1,0,0,1,0,0,0,1,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,04,9,9,9.0,
508,0.1536730212,_A,2004,23,24,ES,,1,9,5,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,6.0,3.0,0,0,1,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,H,999,7.0,9.0,9.0,,,9,9,9.0,
513,0.0665046931,_A,2004,21,22,ES,0.0,1,9,4,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,6.0,3.0,0,0,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,7.0,9.0,9.0,,03,9,9,9.0,
523,0.156241184,_A,2004,25,26,ES,0.0,1,9,4,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004,6.0,1,2,1.0,40,40,,,97,,45.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,2.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,0,,,9.0,9.0,02,9,9,9.0,9.0
535,0.1644376228,_A,2004,21,22,ES,0.0,1,9,6,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,10.0,5.0,4,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,3,9.0,1,L,999,4.0,9.0,9.0,,04,9,9,9.0,
555,0.2000700498,_A,2004,17,18,ES,0.0,1,9,2,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,3.0,1,1,1,1,0,0,0,0,0,1,0.0,0,9.0,1,2,9.0,1.0,,2,3.0,1,M,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
557,0.0826504519,_A,2004,17,18,ES,3.0,1,9,3,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,1.0,5.0,4,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,3.0,9.0,9.0,,03,9,9,9.0,
575,0.099063639,_A,2004,19,20,ES,0.0,1,9,1,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,3.0,9.0,9.0,,05,9,9,9.0,
576,0.4800068771,_A,2004,19,21,ES,0.0,1,9,6,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2000,99.0,1,1,9.0,50,50,,,97,,50.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,1.0,0,0,1,0,0,1,0,0,0,0,0.0,0,9.0,9,2,9.0,2.0,999.0,1,9.0,0,H,48,,,9.0,9.0,01,9,9,9.0,9.0
589,0.1379280726,_A,2004,14,15,ES,3.0,1,9,1,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,H,999,,9.0,9.0,9.0,03,9,9,9.0,9.0
598,0.5419823333,_A,2004,14,15,ES,0.0,1,9,1,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,10.0,5.0,4,2.0,2.0,1,0,1,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,L,999,4.0,9.0,9.0,,04,9,9,9.0,
601,0.1389898468,_A,2004,23,24,ES,3.0,1,9,2,2,6,2004,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,1.0,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,3.0,9.0,9.0,,05,9,9,9.0,
620,0.2896174148,_A,2004,14,15,ES,3.0,1,9,3,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004,2.0,2,2,3.0,20,20,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,2.0,0,0,0,1,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,H,2,,,9.0,9.0,03,9,9,9.0,9.0
633,0.0943754901,_A,2004,25,26,ES,3.0,1,9,1,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2004,2.0,1,2,,30,30,,,97,0.0,30.0,1,1,9.0,99,9,9999,99.0,9.0,9,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,9,2,9.0,1.0,,1,9.0,1,H,4,,,9.0,9.0,03,9,9,9.0,9.0
653,0.0424608398,_A,2004,26,27,ES,3.0,1,9,6,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,8.0,5.0,4,3.0,2.0,1,0,0,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,4.0,9.0,9.0,,02,9,9,9.0,
662,0.3000696339,_A,2004,14,15,ES,0.0,1,9,6,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,6.0,2.0,0,1,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,2.0,0,H,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
