,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
125,0.0638722694,_A,2013,13,14.0,DK,0.0,1,9,4,2,3,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,1.0,1.0,1.0,9.0,37.0,20.0,0,0,12.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,400.0,999.0,9.0,0.0,M,14.0,,B,9,9,9,9,9,9
144,0.0216655525,_A,2013,31,32.0,DK,3.0,1,9,4,2,8,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,0,0,1,1,0,0,0,1,0,0,0,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
147,0.0846362323,_A,2013,2,3.0,DK,3.0,1,9,1,2,1,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,9.0,1,2.0,9.0,1.0,8.0,2.0,999.0,900.0,3.0,1.0,L,999.0,7.0,9,9,I,9,9,9,H
151,0.1211793666,_A,2013,29,31.0,DK,,1,9,1,2,7,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,2,2,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,2.0,0.0,M,999.0,4.0,9,9,Q,9,9,9,H
154,0.016487553,_A,2013,15,16.0,DK,3.0,1,9,4,2,4,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2011.0,3.0,2.0,1.0,9.0,4.0,4.0,0,0,97.0,1.0,8.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,1.0,2.0,1.0,8.0,1.0,900.0,999.0,9.0,1.0,L,25.0,,H,9,9,9,9,9,9
187,0.0555187182,_A,2013,7,8.0,DK,0.0,1,9,1,2,2,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,2007.0,99.0,1.0,9.0,9.0,40.0,20.0,99,99,4.0,0.0,40.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,M,72.0,,H,9,9,9,9,9,9
210,0.0614082331,_A,2013,1,2.0,DK,3.0,1,9,4,2,1,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,8,5,4,3,1,0,0,1,1,0,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,M,999.0,5.0,9,9,S,9,9,9,H
220,,_A,2013,24,26.0,DK,0.0,1,9,4,2,6,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2013.0,1.0,1.0,2.0,4.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,500.0,999.0,9.0,,,5.0,,H,9,9,9,9,9,9
236,0.0294234607,_A,2013,19,20.0,DK,3.0,1,9,2,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,999.0,1.0,0.0,L,999.0,,9,9,9,9,9,9,9
247,0.0353498794,_A,2013,3,4.0,DK,3.0,1,9,2,2,1,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,1.0,4.0,1.0,900.0,999.0,9.0,1.0,H,108.0,,G,9,9,9,9,9,9
248,0.0312081867,_A,2013,42,44.0,DK,0.0,1,9,2,2,10,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,4,5,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,9.0,2,2.0,9.0,1.0,37.0,3.0,999.0,400.0,9.0,1.0,M,999.0,4.0,9,9,K,9,9,9,H
310,0.0329444749,_A,2013,2,3.0,DK,0.0,1,9,2,2,1,2013,1,2.0,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,11,5,4,2,1,1,1,0,1,1,1,1,0,0,1,1,0,0,9.0,1,2.0,9.0,1.0,12.0,2.0,999.0,400.0,1.0,1.0,H,999.0,2.0,9,9,H,9,9,9,H
333,0.0290033859,_A,2013,24,25.0,DK,3.0,1,9,4,2,6,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,1,0,4,5,3,0,0,1,1,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,3.0,0.0,H,999.0,5.0,9,9,G,9,9,9,G
365,,_A,2013,37,39.0,DK,3.0,1,9,4,2,9,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,300.0,999.0,9.0,,,36.0,,G,9,9,9,9,9,9
368,0.0436945463,_A,2013,25,26.0,DK,3.0,1,9,4,2,6,2013,1,1.0,47.0,NO ANSWER,,NO ANSWER,2.0,99,5.0,9,NO ANSWER,2013.0,2.0,1.0,2.0,4.0,40.0,40.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,,4.0,,H,9,9,9,9,9,9
370,0.0337265694,_A,2013,6,7.0,DK,3.0,1,9,3,2,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,7,5,4,3,2,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9.0,1.0,5.0,2.0,999.0,900.0,2.0,1.0,M,999.0,6.0,9,9,H,9,9,9,H
384,0.0488759141,_A,2013,52,1.0,DK,0.0,1,9,3,2,12,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,9,5,4,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,1.0,0.0,M,999.0,3.0,9,9,P,9,9,9,H
393,0.0620164307,_A,2013,50,52.0,DK,3.0,1,9,2,2,12,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,11,5,4,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,500.0,1.0,1.0,M,999.0,2.0,9,9,I,9,9,9,H
432,0.0523481979,_A,2013,18,19.0,DK,3.0,1,9,3,2,5,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,200.0,1.0,0.0,H,999.0,4.0,9,9,Q,9,9,9,H
492,0.055119217,_A,2013,25,26.0,DK,3.0,1,9,1,2,6,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,6,5,4,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,999.0,700.0,9.0,0.0,L,999.0,7.0,9,9,C,9,9,9,B
500,0.0654280084,_A,2013,22,23.0,DK,0.0,1,9,2,2,5,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,1.0,2.0,1.0,9.0,13.0,30.0,0,0,1.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,1,0,0,0,1,1,0,0,0,0,0,0,1,9.0,2,2.0,9.0,1.0,12.0,1.0,200.0,999.0,9.0,1.0,H,4.0,,H,9,9,9,9,9,9
517,0.0529050674,_A,2013,23,25.0,DK,0.0,1,9,3,2,6,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1998.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,0,1,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,180.0,,H,9,9,9,9,9,9
528,0.0656836484,_A,2013,36,37.0,DK,3.0,1,9,2,2,9,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,3,3,0,0,1,1,0,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,2.0,0.0,H,999.0,4.0,9,9,G,9,9,9,G
547,0.0144168195,_A,2013,34,36.0,DK,3.0,1,9,3,2,8,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,7,5,4,5,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,1.0,3.0,1.0,14.0,2.0,999.0,500.0,3.0,1.0,L,999.0,5.0,9,9,C,9,9,9,B
592,,_A,2013,37,39.0,DK,0.0,1,9,4,2,9,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2004.0,99.0,1.0,1.0,9.0,37.0,0.0,0,0,99.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,9.0,9,2.0,9.0,,999.0,1.0,300.0,999.0,9.0,,,108.0,,B,9,9,9,9,9,9
625,0.1130469146,_A,2013,19,20.0,DK,0.0,1,9,1,2,5,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,3,3,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,999.0,3.0,0.0,H,999.0,,9,9,9,9,9,9,9
652,0.0594306662,_A,2013,31,32.0,DK,0.0,1,9,4,2,8,2013,1,2.0,32.0,005-EU28,5.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2011.0,9.0,2.0,1.0,9.0,20.0,20.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,4,3,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,900.0,999.0,9.0,0.0,,23.0,,H,9,9,9,9,9,9
656,0.0969875506,_A,2013,5,6.0,DK,3.0,1,9,4,2,1,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,1.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,700.0,999.0,9.0,0.0,M,0.0,,B,9,9,9,9,9,9
668,,_A,2013,34,35.0,DK,0.0,1,9,4,2,8,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,3,3,0,0,0,1,1,1,1,0,0,1,0,0,1,9.0,1,1.0,,,999.0,2.0,999.0,999.0,3.0,1.0,,999.0,,9,9,9,9,9,9,9
669,0.0311166171,_A,2013,31,33.0,DK,0.0,1,9,2,2,8,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2011.0,11.0,1.0,2.0,6.0,37.0,0.0,0,0,99.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,1.0,3.0,2.0,999.0,1.0,400.0,999.0,9.0,1.0,H,21.0,,H,9,9,9,9,9,9
678,0.0287592705,_A,2013,19,20.0,DK,3.0,1,9,2,2,5,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2011.0,9.0,1.0,1.0,9.0,37.0,24.0,0,0,12.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,H,20.0,,B,9,9,9,9,9,9
714,0.0350794285,_A,2013,8,10.0,DK,3.0,1,9,1,2,2,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2009.0,99.0,2.0,1.0,9.0,5.0,9.0,0,0,1.0,1.0,8.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,9.0,1,1.0,5.0,1.0,10.0,1.0,500.0,999.0,9.0,1.0,M,48.0,,G,9,9,9,9,9,9
722,0.0391299036,_A,2013,43,45.0,DK,3.0,1,9,2,2,10,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2008.0,99.0,1.0,1.0,9.0,37.0,39.0,0,0,16.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,M,60.0,,B,9,9,9,9,9,9
736,0.0395009432,_A,2013,48,50.0,DK,0.0,1,9,3,2,11,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,11,5,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,1.0,9,9,Q,9,9,9,H
739,0.0599325248,_A,2013,13,14.0,DK,3.0,1,9,4,2,3,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2013.0,2.0,1.0,1.0,9.0,40.0,0.0,0,0,99.0,1.0,45.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,700.0,999.0,9.0,0.0,H,1.0,,G,9,9,9,9,9,9
776,,_A,2013,10,12.0,DK,0.0,1,9,4,2,3,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,5,2,0,1,1,1,0,0,1,0,0,1,0,0,0,9.0,1,2.0,9.0,,999.0,2.0,999.0,999.0,2.0,,,999.0,,9,9,9,9,9,9,9
809,0.0560589352,_A,2013,50,52.0,DK,3.0,1,9,4,2,12,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,11,5,4,2,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,1.0,0.0,L,999.0,2.0,9,9,Q,9,9,9,H
810,0.033946287,_A,2013,19,20.0,DK,0.0,1,9,2,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,2,2,0,0,1,1,1,1,1,0,0,1,0,0,0,9.0,2,1.0,3.0,1.0,6.0,3.0,999.0,500.0,9.0,1.0,L,999.0,4.0,9,9,G,9,9,9,G
