,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
261,0.3817330806,_A,2004,18,19,RO,1,9,2,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
284,0.2490439686,_A,2004,15,16,RO,1,9,2,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
285,0.2879770347,_A,2004,23,24,RO,1,9,1,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,1,5,4,,1.0,1,0,1,1,0,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,3.0,9.0,9.0,,04,9,9,9.0,
293,0.2997506096,_A,2004,15,16,RO,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2001,99,0,4,2.0,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,7.0,9.0,9.0,,02,9,9,9.0,
315,0.2125953547,_A,2004,16,17,RO,1,9,2,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2002,4,5,4,2.0,3.0,0,0,0,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,7.0,9.0,9.0,,02,9,9,9.0,
325,0.2419051883,_A,2004,17,18,RO,1,9,4,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1995,99,9,4,,3.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,02,9,9,9.0,9.0
351,0.2636862063,_A,2004,21,22,RO,1,9,1,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1995,99,9,4,2.0,3.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
364,0.3660790762,_A,2004,19,20,RO,1,9,1,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1998,99,5,4,2.0,3.0,1,0,0,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,,03,9,9,9.0,
446,0.2316560075,_A,2004,25,26,RO,1,9,4,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1995,99,9,4,6.0,3.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,02,9,9,9.0,9.0
450,0.3194118507,_A,2004,16,17,RO,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,1.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,03,9,9,9.0,
458,0.5032730182,_A,2004,19,20,RO,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,1999,99,2,9.0,9.0,0,30,99.0,99.0,1.0,1.0,40.0,1,1,9,99,9.0,9999,99,9,9,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,L,60,,,9.0,9.0,03,9,9,9.0,9.0
473,0.4168790394,_A,2004,19,20,RO,1,9,1,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1990,99,9,4,2.0,3.0,0,0,0,1,1,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
481,0.4918248323,_A,2004,14,15,RO,1,9,1,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
486,0.3790856482,_A,2004,21,22,RO,1,9,2,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,4,5,4,2.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,H,999,2.0,9.0,9.0,,02,9,9,9.0,
490,0.2611900701,_A,2004,18,19,RO,1,9,1,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1996,99,9,4,2.0,3.0,0,0,1,0,1,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,02,9,9,9.0,9.0
531,0.2196651519,_A,2004,19,20,RO,1,9,4,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1994,99,9,4,1.0,3.0,0,0,0,1,1,0,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,8.0,9.0,9.0,9.0,03,9,9,9.0,9.0
542,0.1877060185,_A,2004,23,24,RO,1,9,3,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,1.0,0,0,1,1,0,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
564,0.3500240378,_A,2004,18,19,RO,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,2.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
610,0.4146723368,_A,2004,17,18,RO,1,9,2,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,1970,99,1,9.0,9.0,45,45,99.0,99.0,97.0,,48.0,1,1,9,99,9.0,9999,99,9,9,3.0,3.0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,408,,,9.0,9.0,05,9,9,9.0,9.0
615,0.3264553091,_A,2004,22,23,RO,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,3,5,4,2.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,03,9,9,9.0,
636,0.3304370149,_A,2004,16,17,RO,1,9,3,2,4,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,1.0,0,0,0,1,0,1,1,0,0,0,0,0,0,9.0,1,1,5,2.0,999,2,1.0,1.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
658,0.4318718632,_A,2004,23,24,RO,1,9,1,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,5,5,4,2.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
659,0.2505605068,_A,2004,18,19,RO,1,9,1,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,3.0,2.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,,9.0,9.0,9.0,02,9,9,9.0,9.0
697,0.2481305237,_A,2004,16,17,RO,1,9,4,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,1969,99,1,9.0,9.0,40,40,99.0,99.0,97.0,,40.0,1,1,9,99,9.0,9999,99,9,9,2.0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.0,9,2,9,2.0,999,1,9.0,0.0,M,420,,,9.0,9.0,04,9,9,9.0,9.0
715,0.1929694331,_A,2004,21,22,RO,1,9,3,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,10,5,4,,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,4.0,9.0,9.0,,01,9,9,9.0,
746,0.445186737,_A,2004,26,27,RO,1,9,3,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,1.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
759,0.3870204381,_A,2004,19,20,RO,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,2.0,0,0,1,0,1,1,1,0,0,0,0,0,0,9.0,1,1,5,2.0,999,2,2.0,1.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
796,0.2416123545,_A,2004,20,21,RO,1,9,1,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,1999,99,1,9.0,9.0,0,40,99.0,99.0,,,48.0,1,2,0,10,9.0,9999,99,9,9,2.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,9,2,9,2.0,999,1,9.0,0.0,M,60,,,,9.0,03,9,9,,9.0
798,0.4768285522,_A,2004,25,26,RO,1,9,2,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
812,0.146936177,_A,2004,19,20,RO,1,9,2,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,,1.0,1,0,1,1,0,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,3.0,9.0,9.0,,03,9,9,9.0,
821,0.3203160181,_A,2004,21,22,RO,1,9,1,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1995,99,9,4,6.0,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,8.0,9.0,9.0,9.0,02,9,9,9.0,9.0
875,0.1757162961,_A,2004,18,19,RO,1,9,3,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1995,99,9,4,,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,03,9,9,9.0,9.0
888,0.4060708202,_A,2004,24,25,RO,1,9,4,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,4,5,4,3.0,2.0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,03,9,9,9.0,
918,0.3888321357,_A,2004,26,27,RO,1,9,4,2,6,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,1.0,0,0,0,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,3.0,9.0,9.0,,03,9,9,9.0,
925,0.1835974674,_A,2004,20,21,RO,1,9,2,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,,3.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
930,0.3053606545,_A,2004,23,24,RO,1,9,2,2,6,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2001,99,0,4,,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,7.0,9.0,9.0,,02,9,9,9.0,
940,0.4341174132,_A,2004,25,26,RO,1,9,3,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1995,99,1,9.0,9.0,40,40,99.0,99.0,97.0,,40.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,9,2,9,2.0,999,1,9.0,0.0,L,108,,,9.0,9.0,03,9,9,9.0,9.0
979,0.3318276967,_A,2004,26,27,RO,1,9,3,2,6,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,10,5,4,3.0,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,4.0,9.0,9.0,,04,9,9,9.0,
998,0.1525996442,_A,2004,19,20,RO,1,9,2,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,0.0,9,000-OWN COUNTRY,1999,99,2,9.0,9.0,0,30,99.0,99.0,,1.0,40.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,1,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,60,,,9.0,9.0,02,9,9,9.0,9.0
1008,0.3688579693,_A,2004,21,22,RO,1,9,3,2,5,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,5.0,1.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,1,3,2.0,999,2,1.0,1.0,L,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
1047,0.4492253394,_A,2004,21,22,RO,1,9,4,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,,9.0,9.0,9.0,6+,9,9,9.0,9.0
1105,0.2531305386,_A,2004,18,19,RO,1,9,1,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1995,99,9,4,2.0,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
1157,0.4090743286,_A,2004,16,17,RO,1,9,2,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1989,99,9,4,2.0,3.0,1,0,1,0,1,0,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,L,999,8.0,9.0,9.0,9.0,6+,9,9,9.0,9.0
