,COEFF,QUARTER,REFYEAR,COUNTRY,DEGURBA,HHTYPE,HHINST,INTQUEST,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D
1799,0.157356,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,1.0,12.0,000-OWN COUNTRY,2009.0,99.0,9.0,1.0,9.0,1.0,9.0,9.0,0.0,3.0,2.0,2.0,2.0,3.0,45.0,60.0,15.0,0.0,16.0,0.0,9.0,45.0,3.0,1.0,6.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,2.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,2.0,9,1.0,8.0,1,1.0,2008.0,1.0,800.0,999.0,9.0,1.0,M,0.0,,,48.0,,9.0,H,9,9
1800,0.158871,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,2.0,10.0,000-OWN COUNTRY,2012.0,7.0,1.0,1.0,9.0,1.0,9.0,9.0,0.0,1.0,3.0,1.0,3.0,3.0,45.0,35.0,0.0,0.0,12.0,0.0,9.0,50.0,3.0,1.0,3.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,5.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,2.0,9,2.0,999.0,9,9.0,2011.0,1.0,800.0,999.0,9.0,0.0,M,0.0,9.0,9.0,11.0,,4.0,H,9,9
1803,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1805,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2013.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1806,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2012.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1808,0.141083,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,5.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,2,1.0,5.0,2,4.0,2013.0,2.0,999.0,999.0,1.0,1.0,L,0.0,,,999.0,,99.0,9,9,9
1810,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1811,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1813,0.201174,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,9.0,1.0,9.0,2.0,2.0,9,2.0,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,0.0,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1815,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,0,1,1,1,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2013.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1816,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1817,0.219146,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,1.0,2.0,9,2.0,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,0.0,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1819,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2011.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1820,0.215203,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,1.0,2013.0,3.0,0.0,5,4,9.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,3,1.0,7.0,2,4.0,2011.0,2.0,999.0,900.0,1.0,1.0,L,0.0,,,999.0,2.0,99.0,9,9,H
1822,0.222024,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,1.0,2012.0,6.0,4.0,5,4,9.0,3.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2012.0,2.0,999.0,500.0,1.0,1.0,L,0.0,,,999.0,4.0,99.0,9,9,H
1823,0.160937,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,5.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,2,2.0,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,1.0,L,0.0,,,999.0,,99.0,9,9,9
1824,0.149801,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,1.0,2013.0,10.0,1.0,5,4,9.0,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,1.0,9.0,1.0,2.0,9,2.0,999.0,9,9.0,2010.0,2.0,999.0,700.0,1.0,0.0,L,0.0,9.0,9.0,999.0,1.0,99.0,9,9,F
1826,0.308233,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,1.0,2012.0,8.0,1.0,9,4,9.0,4.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,2.0,2.0,9,1.0,12.0,2,4.0,2008.0,2.0,999.0,999.0,1.0,1.0,L,0.0,,,999.0,5.0,99.0,9,9,9
1827,0.113659,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,1.0,2012.0,8.0,1.0,5,4,9.0,3.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2011.0,2.0,999.0,700.0,1.0,1.0,L,0.0,,,999.0,4.0,99.0,9,9,T
1828,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2011.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1829,0.190259,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,5.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2011.0,2.0,999.0,999.0,1.0,1.0,L,0.0,,,999.0,,99.0,9,9,9
1830,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2012.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1831,,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,,9999.0,99.0,99.0,9,4,9.0,6.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,,9.0,,,9,,999.0,9,9.0,2010.0,2.0,999.0,999.0,1.0,,L,0.0,9.0,9.0,999.0,,99.0,9,9,9
1833,0.250951,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,3.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,2,2.0,999.0,9,9.0,2010.0,2.0,999.0,999.0,2.0,1.0,L,0.0,,,999.0,,99.0,9,9,9
1834,0.183846,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,9.0,99.0,9.0,9.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,3.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2011.0,2.0,999.0,999.0,1.0,1.0,L,0.0,,,999.0,,99.0,9,9,9
