,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS
195,0.01533,_A,2013,15,16,HU,3.0,1,9,2,2,4,2013,1,1.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,5.0,9,2,10,005-EU28,2007,99.0,9,2,5,2,2,1,0,3,3,3,2,2,20,20,0,0,97,1,2,40,3,1,2,1,9,99,9.0,9999,99.0,99.0,9,9,9,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,9,9,9,4,2.0,9,2.0,999,9,9,1988,1.0,900.0,999,9.0,0.0,L,0.0,9.0,9.0,72,,10.0,G,9,9,2
228,0.02544,_A,2013,14,15,HU,3.0,1,9,4,2,4,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,2,9,2,2.0,9,2.0,999,9,9,2008,2.0,999.0,999,3.0,0.0,H,0.0,9.0,9.0,999,,99.0,9,9,9,5
240,0.12744,_A,2013,13,14,HU,4.0,1,9,3,2,3,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,5.0,9,2,10,005-EU28,1985,99.0,9,1,9,1,9,9,0,1,3,3,3,3,40,40,0,0,97,0,9,40,3,1,3,1,9,99,9.0,9999,99.0,99.0,9,9,9,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9,9,9,9,9,4,2.0,9,1.0,4,2,4,1993,1.0,600.0,999,9.0,1.0,M,0.0,,,336,,2.0,H,9,9,2
261,0.05858,_A,2013,42,43,HU,4.0,1,9,5,2,10,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,10.0,0.0,9,4,9,3,3,1,1,1,1,1,1,1,0,0,1,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1992,2.0,999.0,999,3.0,0.0,L,0.0,9.0,9.0,999,7.0,99.0,9,9,9,3
291,0.04165,_A,2013,21,22,HU,4.0,1,9,3,2,5,2013,1,2.0,55-74,005-EU28,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2012,3.0,0.0,9,4,9,5,3,1,1,1,1,1,1,0,0,0,1,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1972,2.0,999.0,999,3.0,0.0,L,0.0,9.0,9.0,999,5.0,99.0,9,9,9,4
324,0.02396,_A,2013,46,47,HU,4.0,1,9,2,2,11,2013,1,1.0,55-74,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2007,99.0,0.0,9,4,9,3,3,1,0,1,1,1,1,0,0,0,0,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1974,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,2
343,0.12188,_A,2013,38,39,HU,4.0,1,9,3,2,9,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2009,99.0,0.0,9,4,9,3,3,1,0,1,0,1,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1984,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
355,0.02644,_A,2013,1,2,HU,3.0,1,9,1,2,1,2013,1,2.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,1.0,0.0,9,4,9,3,3,1,0,1,1,1,1,0,0,0,1,1,1,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1987,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,7.0,99.0,9,9,9,2
391,0.05994,_A,2013,28,29,HU,4.0,1,9,3,2,7,2013,1,1.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2013,1.0,9.0,0,4,9,6,2,1,0,1,1,1,1,0,0,0,1,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1997,2.0,999.0,200,2.0,0.0,H,0.0,9.0,9.0,999,4.0,99.0,9,9,H,4
426,0.05292,_A,2013,23,24,HU,4.0,1,9,5,2,6,2013,1,1.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2007,99.0,0.0,9,4,9,3,3,1,0,1,1,1,1,0,0,0,0,0,0,1,9,1,9,1,9,1,2.0,9,2.0,999,9,9,2009,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,2
439,0.02604,_A,2013,33,34,HU,3.0,1,9,1,2,8,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,5.0,9,2,12,000-OWN COUNTRY,2013,5.0,0,1,9,2,2,3,0,3,3,3,3,3,40,40,0,0,97,0,9,40,3,1,1,1,9,99,9.0,9999,99.0,99.0,9,9,9,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,9,9,9,9,9,4,2.0,9,2.0,999,9,9,1987,1.0,900.0,999,9.0,0.0,L,0.0,9.0,9.0,3,,,H,9,9,3
440,0.03017,_A,2013,13,14,HU,4.0,1,9,5,2,3,2013,1,1.0,25-39,005-EU28,00,000-OWN COUNTRY,2,99,5.0,9,2,11,000-OWN COUNTRY,2000,99.0,9,1,9,1,9,9,0,3,2,2,3,3,16,16,0,0,97,1,2,50,3,1,6,1,9,99,9.0,9999,99.0,99.0,9,9,9,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9,1,9,9,9,4,2.0,9,2.0,999,9,9,1990,1.0,200.0,999,9.0,0.0,L,0.0,9.0,9.0,156,,2.0,A,9,9,5
484,0.05336,_A,2013,46,47,HU,4.0,1,9,5,2,11,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2013,4.0,0.0,5,4,9,2,2,1,0,1,1,1,1,0,0,0,1,0,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1987,2.0,999.0,700,2.0,0.0,L,0.0,9.0,9.0,999,4.0,99.0,9,9,B,3
495,0.039,_A,2013,19,20,HU,4.0,1,9,5,2,5,2013,1,1.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,3,3,1,0,0,1,1,1,0,0,0,0,0,0,0,9,1,9,2,9,2,2.0,9,2.0,999,9,9,2010,2.0,999.0,999,3.0,0.0,H,0.0,9.0,9.0,999,,99.0,9,9,9,2
520,0.03095,_A,2013,3,4,HU,3.0,1,9,6,2,1,2013,1,2.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2012,1.0,0.0,9,4,9,3,3,0,1,1,1,0,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1990,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,5.0,99.0,9,9,9,4
530,0.04365,_A,2013,20,21,HU,3.0,1,9,6,2,5,2013,1,2.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2003,99.0,99.0,9,4,9,5,3,1,0,1,1,0,1,0,0,0,0,0,0,0,9,1,9,5,9,2,2.0,9,2.0,999,9,9,1983,2.0,999.0,999,3.0,0.0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
539,0.01011,_A,2013,51,52,HU,3.0,1,9,5,2,12,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2008,99.0,0.0,9,4,9,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1986,2.0,999.0,999,3.0,0.0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,6
545,0.0142,_A,2013,4,5,HU,3.0,1,9,2,2,1,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2008,99.0,0.0,9,4,9,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1991,2.0,999.0,999,1.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,4
556,0.06186,_A,2013,37,38,HU,3.0,1,9,6,2,9,2013,1,2.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,5.0,9,2,12,000-OWN COUNTRY,2013,9.0,0,2,5,1,9,9,0,3,3,3,3,3,30,30,0,0,97,1,4,40,3,1,2,1,9,99,9.0,9999,99.0,99.0,9,9,9,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,9,1,9,9,9,2,2.0,9,2.0,999,9,9,1981,1.0,100.0,999,9.0,0.0,L,0.0,9.0,9.0,0,,,A,9,9,4
568,0.01347,_A,2013,43,44,HU,4.0,1,9,3,2,10,2013,1,2.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2013,5.0,0.0,5,4,9,2,1,1,0,1,1,1,1,0,0,0,0,1,0,0,9,1,9,1,9,4,2.0,9,2.0,999,9,9,1975,2.0,999.0,800,1.0,0.0,L,0.0,9.0,9.0,999,3.0,99.0,9,9,B,1
628,0.01431,_A,2013,28,29,HU,3.0,1,9,5,2,7,2013,1,2.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2012,10.0,0.0,5,4,9,3,2,1,0,1,1,0,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1984,2.0,999.0,800,2.0,0.0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,B,4
666,0.02502,_A,2013,49,50,HU,4.0,1,9,6,2,12,2013,1,2.0,40-54,005-EU28,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2005,99.0,99.0,9,4,9,6,3,1,0,0,1,0,1,0,0,0,0,0,0,0,9,1,9,5,9,4,2.0,9,2.0,999,9,9,1978,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
668,0.08952,_A,2013,44,45,HU,4.0,1,9,1,2,10,2013,1,2.0,55-74,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2009,99.0,0.0,9,4,9,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1984,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
692,0.00997,_A,2013,7,8,HU,3.0,1,9,5,2,2,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2012,5.0,1.0,5,4,9,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1998,2.0,999.0,700,1.0,0.0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,B,4
700,0.01044,_A,2013,51,52,HU,3.0,1,9,5,2,12,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2013,6.0,1.0,5,4,9,6,2,1,0,1,1,0,1,0,0,0,0,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1990,2.0,999.0,500,2.0,0.0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,B,1
792,0.03183,_A,2013,8,9,HU,4.0,1,9,4,2,2,2013,1,1.0,25-39,005-EU28,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,12.0,0.0,9,4,9,3,3,1,1,1,1,1,1,0,0,0,0,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,2007,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,5.0,99.0,9,9,9,4
819,0.0206,_A,2013,11,12,HU,3.0,1,9,5,2,3,2013,1,1.0,55-74,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,9.0,0.0,9,4,9,3,3,1,0,0,1,0,0,0,0,0,0,1,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1974,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,6.0,99.0,9,9,9,4
837,0.01756,_A,2013,32,33,HU,3.0,1,9,6,2,8,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,10.0,1.0,9,4,9,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1991,2.0,999.0,999,3.0,0.0,L,0.0,9.0,9.0,999,6.0,99.0,9,9,9,6
850,0.05356,_A,2013,26,27,HU,4.0,1,9,3,2,6,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,9,2,6,5,9,4,2.0,9,2.0,999,9,9,1984,3.0,999.0,999,9.0,0.0,M,0.0,9.0,9.0,999,,99.0,9,9,9,4
852,0.01039,_A,2013,23,24,HU,3.0,1,9,3,2,6,2013,1,1.0,40-54,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2012,6.0,1.0,9,4,9,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1988,2.0,999.0,999,2.0,0.0,L,0.0,9.0,9.0,999,5.0,99.0,9,9,9,5
869,0.02731,_A,2013,18,19,HU,4.0,1,9,4,2,5,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,7.0,1.0,9,4,9,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,9,1,9,5,9,1,2.0,9,2.0,999,9,9,1998,2.0,999.0,999,1.0,0.0,L,0.0,9.0,9.0,999,6.0,99.0,9,9,9,4
877,0.01006,_A,2013,49,50,HU,3.0,1,9,6,2,12,2013,1,2.0,40-54,005-EU28,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,3,1,1,0,1,1,0,1,1,0,0,1,1,0,0,9,1,9,5,9,2,2.0,9,2.0,999,9,9,1988,2.0,999.0,999,1.0,0.0,L,0.0,9.0,9.0,999,,99.0,9,9,9,5
892,0.0555,_A,2013,37,38,HU,4.0,1,9,2,2,9,2013,1,1.0,55-74,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2008,99.0,0.0,9,4,9,2,3,0,0,0,1,1,1,0,0,0,1,0,0,0,9,1,9,1,9,1,2.0,9,2.0,999,9,9,1971,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,2
